"3739","550","92","261"
"3742","458","246","4"
"3745","573","604","4"
"3749","379","655","573"
"3767","486","168","4"
"3782","535","44","333"
"3785","470","279","261"
"3791","425","472","333"
"3807","379","634","448"
"3822","535","57","224"
"3825","518","137","224"
"3828","415","106","261"
"3831","595","85","297"
"3834","448","542","224"
"3840","618","311","261"
"3846","437","166","261"
"3873","550","101","4"
"3877","379","531","470"
"3880","470","301","297"
"3883","618","257","333"
"3886","607","331","333"
"3904","486","214","261"
"3919","508","485","224"
"3934","448","515","297"
"3940","458","50","224"
"3944","379","242","562"
"3950","458","277","261"
"3969","379","202","486"
"3972","486","537","297"
"3987","628","193","297"
"4044","518","491","4"
"4050","584","256","261"
"4053","415","343","333"
"4059","470","294","4"
"4063","379","263","607"
"4066","607","97","261"
"4096","573","233","224"
"4102","573","175","261"
"4123","486","266","333"
"4141","448","230","261"
"4144","562","607","224"
"4162","607","446","224"
"4174","562","229","4"
"4183","425","496","297"
"4189","470","608","224"
"4204","628","204","224"
"4300","518","269","297"
"4414","448","412","4"
"5725","4","155","70"
"5726","70","623","142"
"5730","926","329","685"
"5731","40","96","142"
"5732","53","534","142"
"5736","333","89","70"
"5742","297","548","70"
"5750","224","498","70"
"5762","261","131","70"
"6808","770","595","762"
"6817","762","245","754"
"6825","754","441","740"
"6832","740","606","53"
"6837","53","130_550","4"
"6838","53","130","949"
"6843","949","550","4"
"6846","4","208_328","89"
"6847","4","208","373"
"6850","97","323","116"
"6860","812","70","762"
"6885","949","529","261"
"6889","261","273","373"
"6894","949","148","333"
"6898","333","627","722"
"6902","729","2","762"
"6912","857","11","762"
"6937","949","206","297"
"6941","297","624","722"
"6948","4","544_507","89"
"6949","4","544","379"
"6958","261","370","722"
"6963","949","199","224"
"6967","224","505","722"
"6977","981","255","762"
"7004","333","250_507","89"
"7005","333","250","379"
"7050","794","418","762"
"7053","868","376","762"
"7061","333","574","373"
"7068","224","189_507","89"
"7069","224","189","379"
"7076","297","247_507","89"
"7077","297","247","379"
"7080","886","613","762"
"7088","297","590","373"
"7103","781","445","762"
"7110","261","48_507","89"
"7111","261","48","379"
"7131","4","240","722"
"7162","224","616","373"
"7244","53","130_199","224"
"7829","177","591","830"
"7831","53","566","97"
"7832","97","114","131"
"7835","177","591_281","379"
"7838","830","281","379"
"8254","830","372","97"
"8263","379","538","830"
"8310","379","205_93","926"
"8311","379","205","685"
"8312","685","93","926"
"8315","379","533","674"
"8425","666","10","640"
"8427","373","622","224"
"8428","89","635","116"
"8432","666","24","674"
"8436","379","207","4"
"8438","379","481","261"
"8439","666","359","685"
"8441","373","501","297"
"8443","373","190","4"
"8445","722","212","333"
"8456","379","149","224"
"8458","722","62","4"
"8465","373","264","261"
"8473","722","440","297"
"8478","373","183","333"
"8481","379","145","333"
"8483","379","489","297"
"8495","722","367","224"
"8518","722","95","261"
"9370","595","104","379"
"9375","4","155_12","89"
"9377","618","157","379"
"9379","437","495","379"
"9384","628","467","379"
"9389","333","89_12","89"
"9391","458","648","379"
"9399","97","228","177"
"9406","224","498_12","89"
"9408","562","332","379"
"9410","415","536","379"
"9415","297","548_12","89"
"9429","584","364","379"
"9443","535","580","379"
"9450","261","131_12","89"
"9457","448","299","379"
"9463","486","403","379"
"9468","425","180","379"
"9470","550","3","379"
"9474","497","306","379"
"9483","518","276","379"
"9512","573","15","379"
"9520","470","58","379"
"9542","508","586","379"
"9659","607","473","379"
"9941","965","78","4"
"9943","4","150_196","97"
"9945","508","196","97"
"9949","965","69","261"
"9953","535","53","97"
