"1","ProjectVersion","1.1","1"
"160","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","251"
"161","derived","derived","251"
"162","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","252"
"163","derived","derived","252"
"164","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","253"
"165","derived","derived","253"
"166","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","254"
"167","derived","derived","254"
"168","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","255"
"169","derived","derived","255"
"170","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","256"
"171","derived","derived","256"
"172","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","257"
"173","derived","derived","257"
"174","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","258"
"175","derived","derived","258"
"176","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","259"
"177","derived","derived","259"
"178","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","260"
"179","derived","derived","260"
"180","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","262"
"181","derived","derived","262"
"182","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","263"
"183","derived","derived","263"
"184","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","264"
"185","derived","derived","264"
"186","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_consentTierStatusCollection_edu.wustl.catissuecore.domain.ConsentTierStatus","265"
"187","derived","derived","265"
"188","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","266"
"189","derived","derived","266"
"190","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","267"
"191","derived","derived","267"
"192","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","268"
"193","derived","derived","268"
"194","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","269"
"195","derived","derived","269"
"196","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","270"
"197","derived","derived","270"
"198","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_edu.wustl.catissuecore.domain.Specimen_specimenCharacteristics_edu.wustl.catissuecore.domain.SpecimenCharacteristics","271"
"199","derived","derived","271"
"200","derived","derived","272"
"201","derived","derived","273"
"202","derived","derived","274"
"203","derived","derived","275"
"204","derived","derived","276"
"205","derived","derived","277"
"206","derived","derived","278"
"207","derived","derived","279"
"208","derived","derived","280"
"209","derived","derived","281"
"210","derived","derived","282"
"211","derived","derived","283"
"212","derived","derived","284"
"213","derived","derived","285"
"214","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","286"
"215","derived","derived","286"
"216","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","287"
"217","derived","derived","287"
